id,question,slug,endDate,outcomes,outcomePrices,active,acceptingOrders,volumeNum,liquidityNum,liquidityClob,liquidity,book_bids,book_asks,book_bid_sum,book_ask_sum,book_bid_size_sum,book_ask_size_sum,book_underround,book_overround,outcomes_list,outcomePrices_list,price_yes,price_no,ask_sum,sum_off,sum_bad,degenerate_prices,bestBid_num,bestAsk_num,mid,rel_spread,crossed_or_zero,stale_yes_ask,yes_on_tick,no_on_tick,liquidity_num
516876,"Will Ethereum hit $7,000 by December 31?",will-ethereum-hit-7000-by-december-31-733-852,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0375"", ""0.9625""]",True,True,4107116.654074,338147.30188,338147.30188,338147.30188,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,113900.52,113900.52,0.0,0.0,"['Yes', 'No']","[0.0375, 0.9625]",0.0375,0.9625,1.0,0.0,False,False,0.036,0.039,0.0375,0.08000000000000007,False,False,False,False,338147.30188
516874,"Will Ethereum hit $10,000 by December 31?",will-ethereum-hit-10000-by-december-31-218-525,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0215"", ""0.9785""]",True,True,4006820.014701,110827.3055,110827.3055,110827.3055,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,12253087.2,12253087.2,0.0,0.0,"['Yes', 'No']","[0.0215, 0.9785]",0.0215,0.9785,1.0,0.0,False,False,0.019,0.024,0.0215,0.23255813953488377,False,False,False,False,110827.3055
516875,"Will Ethereum hit $8,000 by December 31?",will-ethereum-hit-8000-by-december-31-124-489,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.027"", ""0.973""]",True,True,2934958.932886,102313.00693,102313.00693,102313.00693,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,1145723.0,1145723.0,0.0,0.0,"['Yes', 'No']","[0.027, 0.973]",0.027,0.973,1.0,0.0,False,False,0.025,0.029,0.027000000000000003,0.14814814814814814,False,False,True,True,102313.00693
516877,"Will Ethereum hit $6,000 by December 31?",will-ethereum-hit-6000-by-december-31-843-315,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.055"", ""0.945""]",True,True,5528109.220231,149949.3427,149949.3427,149949.3427,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,636754.5800000001,636754.5800000001,0.0,0.0,"['Yes', 'No']","[0.055, 0.945]",0.055,0.945,1.0,0.0,False,False,0.05,0.06,0.055,0.18181818181818174,False,True,False,False,149949.3427
516878,"Will Ethereum hit $5,000 by December 31?",will-ethereum-hit-5000-by-december-31-796-376,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.177"", ""0.823""]",True,True,7623278.489907,145264.60495,145264.60495,145264.60495,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,11225399.51,11225399.51,0.0,0.0,"['Yes', 'No']","[0.177, 0.823]",0.177,0.823,1.0,0.0,False,False,0.175,0.179,0.177,0.022598870056497196,False,False,True,True,145264.60495
516884,"Will Ethereum dip to $1,000 by December 31?",will-ethereum-dip-to-1000-by-december-31-498-391-185-526-541-347-589,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0155"", ""0.9845""]",True,True,844295.489128,55921.87663,55921.87663,55921.87663,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,1174091.35,1174091.35,0.0,0.0,"['Yes', 'No']","[0.0155, 0.9845]",0.0155,0.9845,1.0,0.0,False,False,0.015,0.016,0.0155,0.06451612903225812,False,False,False,False,55921.87663
574068,"Will Ethereum dip to $1,300 by December 31?",will-ethereum-dip-to-1300-by-december-31-455-941-866-736-589,2025-12-31T00:00:00Z,"[""Yes"", ""No""]","[""0.017"", ""0.983""]",True,True,209465.144201,40727.7049,40727.7049,40727.7049,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,1265703.0,1265703.0,0.0,0.0,"['Yes', 'No']","[0.017, 0.983]",0.017,0.983,1.0,0.0,False,False,0.016,0.018,0.017,0.1176470588235293,False,False,True,True,40727.7049
574071,"Will Ethereum hit $14,000 by December 31?",will-ethereum-hit-14000-by-december-31-239-295,,"[""Yes"", ""No""]","[""0.0145"", ""0.9855""]",True,True,743139.746154,114726.32683,114726.32683,114726.32683,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,22152329.11,22152329.11,0.0,0.0,"['Yes', 'No']","[0.0145, 0.9855]",0.0145,0.9855,1.0,0.0,False,False,0.014,0.015,0.014499999999999999,0.06896551724137925,False,False,False,False,114726.32683
574069,Will Ethereum dip to $800 by December 31?,will-ethereum-dip-to-800-by-december-31-947-853-936-835-135,2025-12-31T00:00:00Z,"[""Yes"", ""No""]","[""0.0125"", ""0.9875""]",True,True,93063.576473,54908.92477,54908.92477,54908.92477,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,2376751.0,2376751.0,0.0,0.0,"['Yes', 'No']","[0.0125, 0.9875]",0.0125,0.9875,1.0,0.0,False,False,0.011,0.014,0.0125,0.24000000000000007,False,False,False,False,54908.92477
576410,"Will Ethereum hit $17,000 by December 31?",will-ethereum-hit-17000-by-december-31,2026-01-01T04:00:00Z,"[""Yes"", ""No""]","[""0.0075"", ""0.9925""]",True,True,773125.007538,139003.59019,139003.59019,139003.59019,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,21085514.82,21085514.82,0.0,0.0,"['Yes', 'No']","[0.0075, 0.9925]",0.0075,0.9925,1.0,0.0,False,False,0.007,0.008,0.0075,0.13333333333333333,False,False,False,False,139003.59019
620022,"Will Ethereum dip to $3,000 by December 31?",will-ethereum-dip-to-3000-by-december-31,2026-01-01T05:00:00Z,"[""Yes"", ""No""]","[""0.595"", ""0.405""]",True,True,565045.826859,88955.2441,88955.2441,88955.2441,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,1045666.01,1045666.01,0.0,0.0,"['Yes', 'No']","[0.595, 0.405]",0.595,0.405,1.0,0.0,False,False,0.59,0.6,0.595,0.016806722689075647,False,True,False,False,88955.2441
516712,Tether insolvent in 2025?,tether-insolvent-in-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.013"", ""0.987""]",True,True,312864.389013,41981.34002,41981.34002,41981.34002,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,1006678.0,1006678.0,0.0,0.0,"['Yes', 'No']","[0.013, 0.987]",0.013,0.987,1.0,0.0,False,False,0.009,0.017,0.013000000000000001,0.6153846153846155,False,True,True,True,41981.34002
516713,USDT depeg in 2025?,usdt-depeg-in-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.029"", ""0.971""]",True,True,999973.330101,95237.9765,95237.9765,95237.9765,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,60854.0,60854.0,0.0,0.0,"['Yes', 'No']","[0.029, 0.971]",0.029,0.971,1.0,0.0,False,False,0.026,0.032,0.028999999999999998,0.206896551724138,False,False,True,True,95237.9765
517011,Will Avatar 3 be the top grossing movie of 2025?,will-avatar-3-be-the-top-grossing-movie-of-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.101"", ""0.899""]",True,True,2003306.405199,123082.29976,123082.29976,123082.29976,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,7509346.13,7509346.13,0.0,0.0,"['Yes', 'No']","[0.101, 0.899]",0.101,0.899,1.0,0.0,False,False,0.099,0.103,0.101,0.0396039603960395,False,False,True,True,123082.29976
517012,Will Wicked: For Good be the top grossing movie of 2025?,will-wicked-for-good-be-the-top-grossing-movie-of-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.556"", ""0.444""]",True,True,1097858.280306,65303.3571,65303.3571,65303.3571,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,3709089.63,3709089.63,0.0,0.0,"['Yes', 'No']","[0.556, 0.444]",0.556,0.444,1.0,0.0,False,False,0.546,0.566,0.556,0.035971223021582566,False,True,True,True,65303.3571
517013,Will Superman be the top grossing movie of 2025?,will-superman-be-the-top-grossing-movie-of-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0025"", ""0.9975""]",True,True,4698002.66848,477734.63126,477734.63126,477734.63126,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,5944947.92,5944947.92,0.0,0.0,"['Yes', 'No']","[0.0025, 0.9975]",0.0025,0.9975,1.0,0.0,False,False,0.002,0.003,0.0025,0.4,False,False,False,False,477734.63126
517018,Will Thunderbolts be the top grossing movie of 2025?,will-thunderbolts-be-the-top-grossing-movie-of-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0035"", ""0.9965""]",True,True,11025403.772176,514671.10023,514671.10023,514671.10023,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,6809698.18,6809698.18,0.0,0.0,"['Yes', 'No']","[0.0035, 0.9965]",0.0035,0.9965,1.0,0.0,False,False,0.003,0.004,0.0035,0.2857142857142857,False,False,False,False,514671.10023
